title,Sigla,Plano Municipal,TAG,Prefeito,Status,Órgão Coordenador,Início,Fim,desc,Resumo_Excerto,Página,Ato Normativo,link,Título Spec
1º Plano de Ação em Governo Aberto,,True,Administração e Transparência,,Encerrado,SMCC/CGA,1/1/2016,12/31/2017,"O Plano de Ação em Governo Aberto da Prefeitura Municipal de São Paulo é uma iniciativa para promover a transparência, prestação de contas, participação cidadã e inovação. O primeiro plano estabeleceu cinco compromissos em colaboração com membros do Fórum de Gestão Compartilhada e discutidos no Encontro Brasileiro de Governo Aberto em 2016. Esses compromissos incluem aumentar o poder dos Conselhos Participativos Municipais, ampliar o Programa Agentes de Governo Aberto, aumentar o uso de meios de comunicação para divulgar ações de governo aberto, criar uma rede institucionalizada de servidores e fortalecer espaços de inovação como laboratórios, tornando-os mais abertos à participação social e tecnológica.",,,,https://www.prefeitura.sp.gov.br/cidade/secretarias/controladoria_geral/coordenadoria_de_promocao_da_integridade/index.php?p=225085,1_plano_de_acao_em_governo_aberto
2º Plano de Ação em Governo Aberto,,True,Administração e Transparência,Bruno Covas,Encerrado,SMCC/CGA,1/1/2018,12/31/2020,"De 2018 a 2020, os cidadãos de São Paulo participaram ativamente da cocriação e coimplementação do 2º Plano de Ação em Governo Aberto. A Prefeitura instituiu o Fórum de Gestão Compartilhada (FGC) em 2018, envolvendo representantes acadêmicos, movimentos sociais, organizações da sociedade civil e do Comitê Intersecretarial de Governo Aberto (CIGA-SP). O plano foi integrado ao Programa de Metas da cidade e reconhecido como finalista em um prêmio municipal. Os cinco compromissos estabelecidos foram integralmente cumpridos durante sua vigência, abordando temas como orçamento participativo, descentralização e desenvolvimento local, sistemas de informação e transparência, educação e combate à corrupção. As ações incluíram institucionalizar o orçamento participativo, vincular os gastos públicos aos planos de ação desenvolvidos com participação social, desenvolver a integração entre os sistemas de informação, promover atividades de letramento de cidadania nas escolas e instituir a fiscalização cidadã nos processos licitatórios.",,,"DECRETO Nº 54.794, DE 28 DE JANEIRO DE 2014 e DECRETO Nº 58.115 DE 1 DE MARÇO DE 2018",https://www.prefeitura.sp.gov.br/cidade/secretarias/casa_civil/relacoes_institucionais/governo_aberto_na_cidade_de_sao_paulo/index.php?p=260991,2_plano_de_acao_em_governo_aberto
3º Plano de Ação em Governo Aberto,,True,Administração e Transparência,Ricardo Nunes,Elaborado,SMCC/CGA,1/1/2021,12/31/2024,"O 3º Plano de Ação em Governo Aberto da Cidade de São Paulo é um conjunto de compromissos que reflete o compromisso da Prefeitura Municipal com a transparência, integridade, responsividade e participação da população. Criado em colaboração com representantes do governo e da sociedade civil, especialmente através do Fórum de Gestão Compartilhada, o Plano foi elaborado por meio de consultas públicas, oficinas e reuniões iniciadas em fevereiro de 2021. Ele consiste em quatro compromissos, cada um desdobrado em quatro marcos, a serem implementados pela Prefeitura em parceria com a sociedade civil até outubro de 2024. Estes compromissos e marcos foram oficialmente aprovados pelo Comitê Intersecretarial de Governo Aberto, conforme estabelecido nos decretos municipais nº 54.794/2014 e nº 58.115/2018.",Os Planos de Ação em Governo Aberto são um conjunto de compromissos assumidos pela Prefeitura para promover o avanço da abertura do governo na cidade.,8,"DECRETO Nº 54.794, DE 28 DE JANEIRO DE 2014, DECRETO Nº 58.115 DE 1 DE MARÇO DE 2018",https://www.prefeitura.sp.gov.br/cidade/secretarias/casa_civil/relacoes_institucionais/coordenadoria_de_governo_aberto/index.php/plano_de_acao/terceira_edicao/index.php?p=333042,3_plano_de_acao_em_governo_aberto
Agenda Municipal 2030,,True,Administração e Transparência,,Elaborado,SEPEP,5/31/2021,12/31/2030,"A Agenda 2030 é um compromisso global de desenvolvimento adotado pela ONU em 2015, ao qual o Município de São Paulo aderiu em 2018 por meio da Lei Municipal nº 16.817. Esta lei estabelece a criação da Comissão Municipal para o Desenvolvimento Sustentável (Comissão Municipal ODS) para implementar o Programa Municipal de Implementação da Agenda 2030. A ""Agenda Municipal 2030"" apresenta objetivos, metas e indicadores propostos pela Comissão Municipal ODS para São Paulo, elaborados entre julho e dezembro de 2020 e aprovados em maio de 2021.",,,LEI Nº 16.817 DE 2 DE FEVEREIRO DE 2018,https://www.prefeitura.sp.gov.br/cidade/secretarias/upload/governo/arquivos/Agenda%202030/AgendaMunicipal2030_ComissaoMunicipalODS_08_07_2021_6MB.pdf,agenda_municipal_2030
Plano Cicloviário do Município de São Paulo,,True,Transporte,,Elaborado,SMT,7/1/2019,12/31/2028,"O Plano Cicloviário visa definir a rede cicloviária da cidade e seus elementos de apoio, orientado para a estruturação de um sistema integrado. Visa promover a intermodalidade e a conexão com os principais equipamentos de transportes públicos, garantir a segurança do uso da bicicleta na malha viária da cidade e promover ações que incentivem o uso do modal de modo a expandi-lo e consolidá-lo na estrutura viária.","O Plano Cicloviário visa definir a rede cicloviária da cidade e seus elementos de apoio, orientado para a estruturação de um sistema integrado. Visa promover a intermodalidade e a conexão com os principais equipamentos de transportes públicos, garantir a segurança do uso da bicicleta na malha viária da cidade e promover ações que incentivem o uso do modal de modo a expandi-lo e consolidá-lo na estrutura viária.",5,LEI Nº 16.885 DE 16 DE ABRIL DE 2018,https://participemais.prefeitura.sp.gov.br/system/documents/attachments/000/000/229/original/f885416972413d3c09d4b1403fd1f297aba46012.pdf,plano_cicloviario_do_municipio_de_sao_paulo
Plano de Ação Climática de São Paulo,PlanClima-SP,True,Gestão Ambiental,Bruno Covas,Elaborado,SGM/SECLIMA,6/3/2021,12/31/2025,"O PlanClima SP é o instrumento voltado à orientação do planejamento e gestão das políticas setoriais da Administração Municipal Direta e Indireta, visando estimular a redução das emissões de gases de efeito estufa e a adaptação aos impactos da mudança do clima, bem como transformar os atuais modos de produção e de consumo no âmbito do Município de São Paulo.","Este Plano de Ação Climática do Município de São Paulo (PlanClima SP) objetiva orientar a ação do governo municipal para incluir a variável climática em seu processo decisório. Ou seja, as decisões governamentais precisam considerar que o clima está mudando e essa variação impõe alterações no conhecimento disponível e nas práticas implementadas pela Prefeitura do Município de São Paulo",14,"DECRETO Nº 60.289 DE 3 DE JUNHO DE 2021, LEI Nº 14.933 DE 5 DE JUNHO DE 2009",https://www.prefeitura.sp.gov.br/cidade/secretarias/governo/secretaria_executiva_de_mudancas_climaticas/acesso_a_informacao/acoes_e_programas/planclimasp/?p=315991,plano_de_acao_climatica_de_sao_paulo
Plano de Ação do Plano Municipal pela Primeira Infância,,True,Direitos da Cidadania; Assistencia Social,Ricardo Nunes,Elaborado,SGM/SEPE,1/1/2021,12/31/2024,"O Plano Municipal pela Primeira Infância de São Paulo (PMPI), estabelecido em 2018, requer a elaboração de um plano de ação quadrienal alinhado aos seus princípios e diretrizes. O Plano de Ação 2021-2024 foi desenvolvido com a participação de 15 secretarias municipais, baseado nos quatro eixos estratégicos, 31 metas e 135 estratégias do PMPI. Foram definidas diretrizes estratégicas, incluindo a redução das desigualdades, com foco nas questões raciais, e o enfrentamento dos impactos da pandemia de Covid-19, para orientar as iniciativas nos próximos quatro anos.","O Plano Municipal pela Primeira Infância de São Paulo (PMPI), [...] estabelece a necessidade de elaboração de um plano de ação quadrienal para cada mandato da gestão municipal. Esse instrumento de planejamento deve ser baseado nos princípios e nas diretrizes do PMPI e indicar os caminhos para a efetivação de suas estratégias e o alcance das metas.",8,Ato motivador: DECRETO MUNICIPAL Nº 58.514 EM 2018,https://www.prefeitura.sp.gov.br/cidade/secretarias/governo/secretaria_executiva_de_projetos_estrategicos/primeira_infancia/index.php?p=352461,plano_de_acao_do_plano_municipal_pela_primeira_infancia
Plano de Ação para Implementação da Agenda 2030,,True,Administração e Transparência,Bruno Covas,Elaborado,SGM/SEPEP,1/1/2021,12/31/2024,"A Agenda 2030 é um compromisso global com o desenvolvimento sustentável, adotado em 2015 por 193 países membros da ONU, incluindo o Brasil. Ela amplia e reafirma os compromissos estabelecidos em 2000 pelos Objetivos do Milênio (ODM) e visa a promover políticas para erradicar a pobreza, a fome, melhorar o acesso a serviços básicos e enfrentar desafios socioambientais. Fundamentada em cinco princípios (Pessoa, Planeta, Paz, Prosperidade e Parcerias), a Agenda 2030 inclui 17 Objetivos de Desenvolvimento Sustentável (ODS) e 169 metas correspondentes.","por meio do presente Plano de Ação, esta mesma Comissão propôs o conjunto de ações de médio prazo a serem executadas pela Prefeitura de São Paulo entre 2021 e 2024, com vistas a garantir o monitoramento anual e o avanço das metas e indicadores pactuados na Agenda Municipal 2030.",,LEI N.º 16.817 de 2 DE FEVEREIRO DE 2018 e DECRETO N.º 59.020 DE 21 DE OUTUBRO DE 2019,https://www.prefeitura.sp.gov.br/cidade/secretarias/governo/planejamento/agenda_2030/,plano_de_acao_para_implementacao_da_agenda_2030
Plano de Ações do Plano Diretor de Drenagem,,True,Urbanismo e Zeladoria,,Elaborado,SIURB,1/1/2022,1/1/2027,"O Plano de Ações tem como principal objetivo cumprir a função de ferramenta para a programação e elaboração de um cronograma de obras para o controle de cheias, além de fornecer suporte à decisão de priorizar determinada intervenção em detrimento das demais, no sistema de macrodrenagem propostas nos cadernos de Bacia Hidrográfica e no Plano Diretor de Drenagem da Bacia do Alto Tietê – PDMAT.",,,,https://www.prefeitura.sp.gov.br/cidade/secretarias/obras/obras_de_drenagem/,plano_de_acoes_do_plano_diretor_de_drenagem
Plano de Assistência Social da Cidade de São Paulo,PLAS,True,Assistencia Social,Bruno Covas,Encerrado,SMADS,1/1/2018,12/31/2021,"O plano busca articular as funções socioassistenciais e as seguranças afiançadas pelo Sistema Único de Assistência Social (SUAS) com as demandas observadas na cidade de São Paulo, estabelecendo metas que promovam a inclusão social e combatam situações de vulnerabilidade, risco e violações de direitos que afetam diferentemente famílias ou indivíduos de acordo com o território em que se encontram. ",,,"RESOLUÇÃO Nº 18, DE 15 DE JULHO DE 2013.",https://www.prefeitura.sp.gov.br/cidade/secretarias/assistencia_social/biblioteca_de_artes/index.php?p=159382,plano_de_assistencia_social_da_cidade_de_sao_paulo
Plano de Desenvolvimento do Turismo Sustentável(Polo de Ecoturismo de São Paulo),,True,Gestão Ambiental,João Doria,Elaborado,SMTUR,1/1/2017,,"O Polo de Ecoturismo, localizado no extremo sul de São Paulo, foi oficialmente criado em 2014 e abrange mais de 400 quilômetros quadrados, correspondendo a cerca de 28% da área total da cidade. Dividido em três distritos, Marsilac, Parelheiros e parte do Grajaú, incluindo o bairro Ilha do Bororé, a região destaca-se por suas belezas naturais, como a mata atlântica preservada, unidades de conservação, rios e cachoeiras. No entanto, o desenvolvimento desordenado contribuiu para problemas sociais e urbanísticos, como ocupações desordenadas e desmatamento. A Prefeitura de São Paulo, por meio da SPTuris, optou por um plano de desenvolvimento turístico exclusivo para o Polo de Ecoturismo, visando orientar estrategicamente a atuação dos envolvidos no turismo, sejam do setor público, privado ou terceiro setor.","Em função das suas características e peculiaridades – que diferem da cidade como um todo, a Prefeitura de São Paulo, por meio da São Paulo Turismo – SPTuris, optou por realizar um plano de desenvolvimento turístico exclusivo para o Polo de Ecoturismo. [...] Este documento apresenta, portanto, o desafio de indicar estratégias e ações para o desenvolvimento turístico sustentável da região.",14,"LEI nº 15.953/14, PORTARIA PREFEITO - PREF Nº 450 DE 15 DE JUNHO DE 2018",https://www.prefeitura.sp.gov.br/cidade/secretarias/governo/gt_de_parelheiros/arquivos/index.php?p=174493,plano_de_desenvolvimento_do_turismo_sustentavel_(polo_de_ecoturismo_de_sao_paulo)
Plano de Gestão Integrada de Resíduos Sólidos da Cidade de São Paulo,PGIRS,True,Gestão Ambiental,,Elaborado,SPRegula,4/2/2014,12/31/2034,"O Plano de Gestão Integrada de Resíduos Sólidos (PGIRS)  é um dos mais importantes instrumentos da Política Nacional de Resíduos Sólidos. Estabelece, para todos os atores envolvidos com os resíduos sólidos (produtores de mercadorias que geram resíduos nas fases de produção, consumo e pós-consumo, comerciantes, distribuidores, importadores, prestadores de serviço público ou privado de manejo de resíduos sólidos e consumidores), a partir da situação atual da gestão dos resíduos sólidos, como se pretende atuar para atingir, em determinado período temporal, os objetivos da Política. A diretriz fundamental que norteia o Plano é a observação da seguinte ordem de prioridade: não geração, redução, reutilização, reciclagem, tratamento dos resíduos sólidos e disposição final ambientalmente adequada apenas dos rejeitos. ",,,"Decreto nº 54.991, de 2 de abril de 2014, Lei nº12.305/2010",https://www.prefeitura.sp.gov.br/cidade/secretarias/spregula/residuos_solidos/noticias/?p=169047,plano_de_gestao_integrada_de_residuos_solidos_da_cidade_de_sao_paulo
Plano de Segurança Urbana Municipal,PSUM,True,Segurança Pública,,Em elaboração,SMSU,12/31/2021,12/31/2031,"O Plano possuirá 4 Objetivos, 30 Iniciativas e 9 Metas e irá reestruturar o Conselho Municipal de Segurança Urbana (COMSU) e criar o Fundo Municipal de Segurança Urbana (FMSU). Ele não apenas estruturará as atuações voltadas para os principais problemas de segurança urbana, como também, na busca de soluções e inovações, antecipará futuros desafios, promovendo transformações que a sociedade necessita.",,,,https://drive.google.com/file/d/1FRvzar_mxWGrlsITdJ2Tf2_8E1PR-ot_/view,plano_de_seguranca_urbana_municipal
